No,pH,Rep,Sample_code,nm_520,nm_700,Date,Rx_min,Harvest,Year,Reps,Notes,Person
4,4.5,2,109-1,0.332,0.089,15/10/24,0,1,2023,0,,Drew
1,1,1,115-16,2.766,0.17,15/10/24,0,2,2023,0,,Drew
2,4.5,1,115-16,0.585,0.181,15/10/24,0,2,2023,0,,Drew
3,1,2,115-16,2.792,0.169,15/10/24,0,2,2023,0,,Drew
4,4.5,2,115-16,0.884,0.2,15/10/24,0,2,2023,0,,Drew
1,1,1,119-16,3.937,0.061,15/10/24,0,2,2023,0,,Drew
2,4.5,1,119-16,0.842,0.102,15/10/24,0,2,2023,0,,Drew
3,1,2,119-16,3.798,0.057,15/10/24,0,2,2023,0,,Drew
4,4.5,2,119-16,0.778,0.085,15/10/24,0,2,2023,0,,Drew
1,1,1,112-16,1.477,0.056,15/10/24,0,1,2023,0,,Drew
2,4.5,1,112-16,0.304,0.079,15/10/24,0,1,2023,0,,Drew
3,1,2,112-16,1.625,0.042,15/10/24,0,1,2023,0,,Drew
4,4.5,2,112-16,0.271,0.052,15/10/24,0,1,2023,0,,Drew
1,1,1,111-16,0.15,0.077,15/10/24,0,2,2023,0,,Drew
2,4.5,1,111-16,0.112,0.061,15/10/24,0,2,2023,0,,Drew
3,1,2,111-16,0.144,0.069,15/10/24,0,2,2023,0,,Drew
4,4.5,2,111-16,0.088,0.046,15/10/24,0,2,2023,0,,Drew
1,1,1,113-16,3.926,0.059,15/10/24,0,1,2023,0,,Drew
2,4.5,1,113-16,0.879,0.087,15/10/24,0,1,2023,0,,Drew
3,1,2,113-16,3.914,0.071,15/10/24,0,1,2023,0,,Drew
4,4.5,2,113-16,0.747,0.077,15/10/24,0,1,2023,0,,Drew
1,1,1,110-16,2.081,0.142,15/10/24,0,2,2023,0,,Drew
2,4.5,1,110-16,0.503,0.148,15/10/24,0,2,2023,0,,Drew
3,1,2,110-16,1.832,0.144,15/10/24,0,2,2023,0,,Drew
4,4.5,2,110-16,0.622,0.184,15/10/24,0,2,2023,0,,Drew
1,1,1,116-16,3.628,0.104,15/10/24,0,2,2023,0,Less than 20 g,Drew
2,4.5,1,116-16,0.802,0.119,15/10/24,0,2,2023,0,,Drew
3,1,2,116-16,4.061,0.116,15/10/24,0,2,2023,0,,Drew
4,4.5,2,116-16,0.784,0.13,15/10/24,0,2,2023,0,,Drew
1,1,1,108-16,2.22,0.11,15/10/24,0,2,2023,1,All reps came from 1 tube,Drew
2,4.5,1,108-16,0.441,0.128,15/10/24,0,2,2023,1,,Drew
3,1,2,108-16,1.745,0.075,15/10/24,0,2,2023,1,,Drew
4,4.5,2,108-16,0.462,0.13,15/10/24,0,2,2023,1,,Drew
1,1,1,117-10,0.961,0.098,15/10/24,0,1,2023,0,Less than 20 g,Drew
2,4.5,1,117-10,0.337,0.145,15/10/24,0,1,2023,0,,Drew
3,1,2,117-10,1.079,0.14,15/10/24,0,1,2023,0,,Drew
4,4.5,2,117-10,0.393,0.163,15/10/24,0,1,2023,0,,Drew
1,1,1,111-10,1.065,0.042,15/10/24,0,1,2023,0,,Drew
2,4.5,1,111-10,0.253,0.059,15/10/24,0,1,2023,0,,Drew
3,1,2,111-10,1.202,0.076,15/10/24,0,1,2023,0,,Drew
4,4.5,2,111-10,0.259,0.063,15/10/24,0,1,2023,0,,Drew
1,1,1,110-10,1.631,0.186,15/10/24,0,1,2023,1,Less than 20 g,Drew
2,4.5,1,110-10,0.628,0.241,15/10/24,0,1,2023,1,,Drew
3,1,2,110-10,1.613,0.176,15/10/24,0,1,2023,1,,Drew
4,4.5,2,110-10,0.786,0.279,15/10/24,0,1,2023,1,,Drew
1,1,1,115-10,1.776,0.138,15/10/24,0,1,2023,1,"Less than 20 g, juice split",Drew
2,4.5,1,115-10,0.623,0.177,15/10/24,0,1,2023,1,,Drew
3,1,2,115-10,2.212,0.17,15/10/24,0,1,2023,1,,Drew
4,4.5,2,115-10,0.476,0.15,15/10/24,0,1,2023,1,,Drew
1,1,1,112-10,1.267,0.025,15/10/24,0,1,2023,0,,Drew
2,4.5,1,112-10,0.208,0.028,15/10/24,0,1,2023,0,,Drew
3,1,2,112-10,1.368,0.032,15/10/24,0,1,2023,0,,Drew
4,4.5,2,112-10,0.249,0.037,15/10/24,0,1,2023,0,,Drew
1,1,1,119-10,0.795,0.095,15/10/24,0,1,2023,0,,Drew
2,4.5,1,119-10,0.235,0.094,15/10/24,0,1,2023,0,,Drew
3,1,2,119-10,3.036,0.114,15/10/24,0,1,2023,0,,Drew
4,4.5,2,119-10,0.713,0.092,15/10/24,0,1,2023,0,,Drew
1,1,1,116-10,3.036,0.125,15/10/24,0,1,2023,0,Less than 20 g,Drew
2,4.5,1,116-10,0.713,0.156,15/10/24,0,1,2023,0,,Drew
3,1,2,116-10,2.799,0.127,15/10/24,0,1,2023,0,,Drew
4,4.5,2,116-10,0.68,0.13,15/10/24,0,1,2023,0,,Drew
1,1,1,107-10,1.877,0.046,15/10/24,0,2,2023,0,,Drew
2,4.5,1,107-10,0.352,0.069,15/10/24,0,2,2023,0,,Drew
3,1,2,107-10,1.78,0.068,15/10/24,0,2,2023,0,,Drew
4,4.5,2,107-10,0.363,0.082,15/10/24,0,2,2023,0,,Drew
1,1,1,118-10,2.999,0.264,15/10/24,0,1,2023,0,,Drew
2,4.5,1,118-10,1.058,0.283,15/10/24,0,1,2023,0,,Drew
3,1,2,118-10,3.033,0.263,15/10/24,0,1,2023,0,,Drew
4,4.5,2,118-10,1.984,0.264,15/10/24,0,1,2023,0,,Drew
1,1,1,109-10,0.777,0.046,15/10/24,0,1,2023,0,,Drew
2,4.5,1,109-10,0.172,0.052,15/10/24,0,1,2023,0,,Drew
3,1,2,109-10,0.97,0.06,15/10/24,0,1,2023,0,,Drew
4,4.5,2,109-10,0.369,0.09,15/10/24,0,1,2023,0,,Drew
1,1,1,113-10,4.267,0.115,15/10/24,0,1,2023,0,,Drew
2,4.5,1,113-10,1.089,0.139,15/10/24,0,1,2023,0,,Drew
3,1,2,113-10,4.225,0.092,15/10/24,0,1,2023,0,,Drew
4,4.5,2,113-10,1.31,0.108,15/10/24,0,1,2023,0,,Drew
1,1,1,112-7,0.439,0.12,15/10/24,0,1,2023,0,,Drew
2,4.5,1,112-7,0.254,0.126,15/10/24,0,1,2023,0,,Drew
3,1,2,112-7,0.489,0.12,15/10/24,0,1,2023,0,,Drew
4,4.5,2,112-7,0.279,0.135,15/10/24,0,1,2023,0,,Drew
1,1,1,118-16,2.996,0.7,17/10/24,0,2,2023,0,,"Drew, Ree"
2,4.5,1,118-16,0.425,0.073,17/10/24,0,2,2023,0,,"Drew, Ree"
3,1,2,118-16,2.978,0.08,17/10/24,0,2,2023,0,,"Drew, Ree"
4,4.5,2,118-16,0.465,0.076,17/10/24,0,2,2023,0,,"Drew, Ree"
1,1,1,114-16,3.534,0.154,17/10/24,0,2,2023,0,,"Drew, Ree"
2,4.5,1,114-16,0.921,0.201,17/10/24,0,2,2023,0,,"Drew, Ree"
3,1,2,114-16,3.795,0.17,17/10/24,0,2,2023,0,,"Drew, Ree"
4,4.5,2,114-16,0.903,0.168,17/10/24,0,2,2023,0,,"Drew, Ree"
1,1,1,106-16,0.981,0.044,17/10/24,0,2,2023,0,,"Drew, Ree"
2,4.5,1,106-16,0.217,0.062,17/10/24,0,2,2023,0,,"Drew, Ree"
3,1,2,106-16,0.932,0.048,17/10/24,0,2,2023,0,,"Drew, Ree"
4,4.5,2,106-16,0.169,0.034,17/10/24,0,2,2023,0,,"Drew, Ree"
1,1,1,114-10,2.385,0.171,17/10/24,0,1,2023,0,,"Drew, Ree"
2,4.5,1,114-10,0.448,0.128,17/10/24,0,1,2023,0,,"Drew, Ree"
3,1,2,114-10,1.729,0.107,17/10/24,0,1,2023,0,,"Drew, Ree"
4,4.5,2,114-10,0.535,0.163,17/10/24,0,1,2023,0,,"Drew, Ree"
1,1,1,107-16,0.248,0.113,17/10/24,0,2,2023,0,,"Drew, Ree"
2,4.5,1,107-16,0.23,0.14,17/10/24,0,2,2023,0,,"Drew, Ree"
3,1,2,107-16,0.272,0.115,17/10/24,0,2,2023,0,,"Drew, Ree"
4,4.5,2,107-16,0.219,0.127,17/10/24,0,2,2023,0,,"Drew, Ree"
1,1,1,109-7,0.912,0.062,17/10/24,20,1,2023,0,,"Drew, Ree"
2,4.5,1,109-7,0.182,0.048,17/10/24,20,1,2023,0,,"Drew, Ree"
3,1,2,109-7,0.785,0.044,17/10/24,20,1,2023,0,,"Drew, Ree"
4,4.5,2,109-7,0.164,0.05,17/10/24,20,1,2023,0,,"Drew, Ree"
1,1,1,117-1,1.345,0.083,17/10/24,20,1,2023,0,,"Drew, Ree"
2,4.5,1,117-1,0.273,0.076,17/10/24,20,1,2023,0,,"Drew, Ree"
3,1,2,117-1,1.407,0.109,17/10/24,20,1,2023,0,,"Drew, Ree"
4,4.5,2,117-1,0.254,0.079,17/10/24,20,1,2023,0,,"Drew, Ree"
1,1,1,108-10,0.169,0.087,17/10/24,20,1,2023,0,,"Drew, Ree"
2,4.5,1,108-10,0.151,0.086,17/10/24,20,1,2023,0,,"Drew, Ree"
3,1,2,108-10,0.143,0.064,17/10/24,20,1,2023,0,,"Drew, Ree"
4,4.5,2,108-10,0.119,0.065,17/10/24,20,1,2023,0,,"Drew, Ree"
1,1,1,106-7,0.597,0.046,17/10/24,20,1,2023,0,,"Drew, Ree"
2,4.5,1,106-7,0.295,0.11,17/10/24,20,1,2023,0,,"Drew, Ree"
3,1,2,106-7,0.612,0.059,17/10/24,20,1,2023,0,,"Drew, Ree"
4,4.5,2,106-7,0.196,0.077,17/10/24,20,1,2023,0,,"Drew, Ree"
1,1,1,116-7,1.04,0.075,17/10/24,20,1,2023,0,,"Drew, Ree"
2,4.5,1,116-7,0.278,0.085,17/10/24,20,1,2023,0,,"Drew, Ree"
3,1,2,116-7,1.17,0.075,17/10/24,20,1,2023,0,,"Drew, Ree"
4,4.5,2,116-7,0.336,0.11,17/10/24,20,1,2023,0,,"Drew, Ree"
1,1,1,114-7,3.705,0.221,17/10/24,20,1,2023,0,,"Drew, Ree"
2,4.5,1,114-7,0.928,0.217,17/10/24,20,1,2023,0,,"Drew, Ree"
3,1,2,114-7,2.939,0.15,17/10/24,20,1,2023,0,,"Drew, Ree"
4,4.5,2,114-7,1.242,0.308,17/10/24,20,1,2023,0,,"Drew, Ree"
1,1,1,110-13,1.456,0.111,17/10/24,20,2,2023,0,,"Drew, Ree"
2,4.5,1,110-13,0.246,0.061,17/10/24,20,2,2023,0,,"Drew, Ree"
3,1,2,110-13,1.084,0.074,17/10/24,20,2,2023,0,,"Drew, Ree"
4,4.5,2,110-13,0.218,0.076,17/10/24,20,2,2023,0,,"Drew, Ree"
1,1,1,112-16,1.575,0.063,17/10/24,20,2,2023,0,Only juice for 1 rep,"Drew, Ree"
2,4.5,1,112-16,0.057,0.009,17/10/24,20,2,2023,0,,"Drew, Ree"
1,1,1,111-10,1.517,0.108,17/10/24,20,2,2023,0,,"Drew, Ree"
2,4.5,1,111-10,0.391,0.153,17/10/24,20,2,2023,0,,"Drew, Ree"
3,1,2,111-10,1.723,0.127,17/10/24,20,2,2023,0,,"Drew, Ree"
4,4.5,2,111-10,0.32,0.105,17/10/24,20,2,2023,0,,"Drew, Ree"
1,1,1,111-16,0.2,0.119,17/10/24,20,1,2023,0,,"Drew, Ree"
2,4.5,1,111-16,0.552,0.498,17/10/24,20,1,2023,0,,"Drew, Ree"
3,1,2,111-16,0.116,0.064,17/10/24,20,1,2023,0,,"Drew, Ree"
4,4.5,2,111-16,0.137,0.082,17/10/24,20,1,2023,0,,"Drew, Ree"
1,1,1,107-10,3.28,0.115,18/10/24,20,1,2023,0,Only juice for 1 rep,Ree
2,4.5,1,107-10,0.744,0.124,18/10/24,20,1,2023,0,Only juice for 1 rep,Ree
1,1,1,106-16,0.974,0.711,18/10/24,20,1,2023,0,Only juice for 1 rep,Ree
2,4.5,1,106-16,2.098,0.162,18/10/24,20,1,2023,0,Only juice for 1 rep,Ree
1,1,1,109-13,1.297,0.104,18/10/24,20,1,2023,0,Only juice for 1 rep,Ree
2,4.5,1,109-13,0.364,0.121,18/10/24,20,1,2023,0,Only juice for 1 rep,Ree
1,1,1,106-10,3.27,0.092,18/10/24,20,1,2023,1,Reps came from juice,Ree
2,4.5,1,106-10,0.748,0.088,18/10/24,20,1,2023,1,Reps came from juice,Ree
3,1,2,106-10,3.402,0.133,18/10/24,20,1,2023,1,Reps came from juice,Ree
4,4.5,2,106-10,0.738,0.081,18/10/24,20,1,2023,1,Reps came from juice,Ree
1,1,1,112-5,1.484,0.068,18/10/24,20,1,2023,1,Only juice for 1 rep,Ree
2,4.5,1,112-5,0.202,0.068,18/10/24,20,1,2023,1,Only juice for 1 rep,Ree
1,1,1,117-5,1.266,0.039,18/10/24,20,1,2023,1,Only juice for 1 rep,Ree
2,4.5,1,117-5,0.289,0.088,18/10/24,20,1,2023,1,Only juice for 1 rep,Ree
1,1,1,108-5,0.413,0.189,18/10/24,20,1,2023,0,,Ree
2,4.5,1,108-5,0.179,0.107,18/10/24,20,1,2023,0,,Ree
3,1,2,108-5,0.325,0.118,18/10/24,20,1,2023,0,,Ree
4,4.5,2,108-5,0.265,0.148,18/10/24,20,1,2023,0,,Ree
1,1,1,108-9,0.427,0.226,19/10/24,20,1,2023,0,,Jessee
2,4.5,1,108-9,0.37,0.229,19/10/24,20,1,2023,0,,Jessee
3,1,2,108-9,0.463,0.25,19/10/24,20,1,2023,0,,Jessee
4,4.5,2,108-9,0.37,0.186,19/10/24,20,1,2023,0,,Jessee
1,1,1,108-7,0.432,0.189,19/10/24,20,1,2023,0,,Jessee
2,4.5,1,108-7,0.286,0.169,19/10/24,20,1,2023,0,,Jessee
3,1,2,108-7,0.525,0.215,19/10/24,20,1,2023,0,,Jessee
4,4.5,2,108-7,0.293,0.164,19/10/24,20,1,2023,0,,Jessee
1,1,1,114-9,2.308,0.134,19/10/24,20,1,2023,0,,Jessee
2,4.5,1,114-9,0.506,0.138,19/10/24,20,1,2023,0,,Jessee
3,1,2,114-9,2.354,0.125,19/10/24,20,1,2023,0,,Jessee
4,4.5,2,114-9,0.525,0.14,19/10/24,20,1,2023,0,,Jessee
1,1,1,117-7,1.812,0.156,19/10/24,20,1,2023,0,,Jessee
2,4.5,1,117-7,0.441,0.169,19/10/24,20,1,2023,0,,Jessee
3,1,2,117-7,1.71,0.138,19/10/24,20,1,2023,0,,Jessee
4,4.5,2,117-7,0.439,0.164,19/10/24,20,1,2023,0,,Jessee
1,1,1,117-9,1.372,0.206,19/10/24,20,1,2023,0,Barely any juice,Jessee
2,4.5,1,117-9,0.279,0.14,19/10/24,20,1,2023,0,Barely any juice,Jessee
3,1,2,117-9,3.553,0.526,19/10/24,20,1,2023,0,Barely any juice,Jessee
4,4.5,2,117-9,0.451,0.228,19/10/24,20,1,2023,0,Barely any juice,Jessee
1,1,1,107-7,1.09,0.09,19/10/24,20,1,2023,0,,Jessee
2,4.5,1,107-7,0.374,0.105,19/10/24,20,1,2023,0,,Jessee
3,1,2,107-7,1.274,0.107,19/10/24,20,1,2023,0,,Jessee
4,4.5,2,107-7,0.5,0.143,19/10/24,20,1,2023,0,,Jessee
1,1,1,118-11,2.194,0.044,19/10/24,20,1,2023,0,,
2,4.5,1,118-11,0.366,0.073,19/10/24,20,1,2023,0,,
3,1,2,118-11,2.668,0.048,19/10/24,20,1,2023,0,,
4,4.5,2,118-11,0.488,0.078,19/10/24,20,1,2023,0,,
1,1,1,18-25,1.055,0.097,19/10/24,20,1,2023,0,,
2,4.5,1,18-25,0.261,0.092,19/10/24,20,1,2023,0,,
3,1,2,18-25,1.07,0.089,19/10/24,20,1,2023,0,,
4,4.5,2,18-25,0.238,0.075,19/10/24,20,1,2023,0,,
1,1,1,14-26,1.424,0.112,24/10/24,20,1,2023,0,,
2,4.5,1,14-26,0.463,0.127,24/10/24,20,1,2023,0,,
3,1,2,14-26,0.485,0.144,24/10/24,20,1,2023,0,,
4,4.5,2,14-26,1.595,0.163,24/10/24,20,1,2023,0,,
1,1,1,109-9,1.605,0.148,24/10/24,20,1,2023,0,,
2,4.5,1,109-9,0.451,0.131,24/10/24,20,1,2023,0,,
3,1,2,109-9,1.364,0.154,24/10/24,20,1,2023,0,,
4,4.5,2,109-9,0.492,0.141,24/10/24,20,1,2023,0,,
1,1,1,106-3,3.122,0.3,24/10/24,20,1,2023,0,,
2,4.5,1,106-3,1.184,0.302,24/10/24,20,1,2023,0,,
3,1,2,106-3,3.061,0.322,24/10/24,20,1,2023,0,,
4,4.5,2,106-3,1.088,0.312,24/10/24,20,1,2023,0,,
1,1,1,118-9,1.649,0.258,24/10/24,20,1,2023,0,,
2,4.5,1,118-9,0.694,0.263,24/10/24,20,1,2023,0,,
3,1,2,118-9,1.856,0.278,24/10/24,20,1,2023,0,,
4,4.5,2,118-9,0.814,0.328,24/10/24,20,1,2023,0,,
1,1,1,13-25,1.167,0.183,24/10/24,20,1,2023,0,,
2,4.5,1,13-25,0.627,0.231,24/10/24,20,1,2023,0,,
3,1,2,13-25,1.531,0.137,24/10/24,20,1,2023,0,,
4,4.5,2,13-25,0.532,0.149,24/10/24,20,1,2023,0,,
1,1,1,17-25,2.807,0.226,24/10/24,20,1,2023,0,,
2,4.5,1,17-25,0.841,0.216,24/10/24,20,1,2023,0,,
3,1,2,17-25,2.897,0.225,24/10/24,20,1,2023,0,,
4,4.5,2,17-25,1.064,0.319,24/10/24,20,1,2023,0,,
1,1,1,111-13,1.292,0.108,24/10/24,20,1,2023,0,,
2,4.5,1,111-13,0.324,0.108,24/10/24,20,1,2023,0,,
3,1,2,111-13,1.257,0.124,24/10/24,20,1,2023,0,,
4,4.5,2,111-13,0.313,0.105,24/10/24,20,1,2023,0,,
1,1,1,112-13,1.405,0.103,24/10/24,20,1,2023,0,,
2,4.5,1,112-13,0.345,0.103,24/10/24,20,1,2023,0,,
3,1,2,112-13,1.431,0.096,24/10/24,20,1,2023,0,,
4,4.5,2,112-13,0.375,0.125,24/10/24,20,1,2023,0,,
1,1,1,106-13,2.7,0.121,24/10/24,20,1,2023,0,,
2,4.5,1,106-13,0.56,0.138,24/10/24,20,1,2023,0,,
3,1,2,106-13,2.698,0.146,24/10/24,20,1,2023,0,,
4,4.5,2,106-13,0.584,0.135,24/10/24,20,1,2023,0,,
1,1,1,118-18,2.275,0.162,24/10/24,20,1,2023,0,,
2,4.5,1,118-18,0.574,0.193,24/10/24,20,1,2023,0,,
3,1,2,118-18,1.578,0.095,24/10/24,20,1,2023,0,,
4,4.5,2,118-18,0.299,0.124,24/10/24,20,1,2023,0,,
1,1,1,115-13,1.954,0.212,24/10/24,20,1,2023,0,,
2,4.5,1,115-13,0.596,0.228,24/10/24,20,1,2023,0,,
3,1,2,115-13,1.894,0.198,24/10/24,20,1,2023,0,,
4,4.5,2,115-13,0.578,0.225,24/10/24,20,1,2023,0,,
1,1,1,118-13,2.293,0.191,24/10/24,20,1,2023,0,,
2,4.5,1,118-13,0.669,0.264,24/10/24,20,1,2023,0,,
3,1,2,118-13,2.378,0.237,24/10/24,20,1,2023,0,,
4,4.5,2,118-13,0.646,0.24,24/10/24,20,1,2023,0,,
1,1,1,109-19,1.222,0.11,24/10/24,20,1,2023,0,,
2,4.5,1,109-19,0.246,0.072,24/10/24,20,1,2023,0,,
3,1,2,109-19,1.191,0.083,24/10/24,20,1,2023,0,,
4,4.5,2,109-19,0.277,0.089,24/10/24,20,1,2023,0,,
1,1,1,11-25,0.787,0.084,24/10/24,20,1,2023,0,,
2,4.5,1,11-25,0.216,0.086,24/10/24,20,1,2023,0,,
3,1,2,11-25,0.896,0.098,24/10/24,20,1,2023,0,,
4,4.5,2,11-25,0.212,0.077,24/10/24,20,1,2023,0,,
1,1,1,117-8,1.096,0.171,24/10/24,20,1,2023,0,,
2,4.5,1,117-8,0.405,0.185,24/10/24,20,1,2023,0,,
3,1,2,117-8,0.977,0.174,24/10/24,20,1,2023,0,,
4,4.5,2,117-8,0.355,0.163,24/10/24,20,1,2023,0,,
1,1,1,114-8,3.471,0.115,24/10/24,20,1,2023,0,,
2,4.5,1,114-8,0.851,0.164,24/10/24,20,1,2023,0,,
3,1,2,114-8,3.383,0.127,24/10/24,20,1,2023,0,,
4,4.5,2,114-8,0.807,0.16,24/10/24,20,1,2023,0,,
1,1,1,119-13,1.429,0.234,24/10/24,20,1,2023,0,,
